id,brand,name,format,style,mg,grupp
general-extra-stark-portion,General,Extra Stark Portion,Large,Original,"15,4 mg/prilla · 14 mg/g",1
general-original-portion-strong,General,Original Portion Strong,Large,Original,14 mg/prilla · 14 mg/g,1
general-original-portion,General,Original Portion,Large,Original,"8,5 mg/prilla · 8,5 mg/g",1
general-slim-white-portion-strong,General,Slim White Portion Strong,Slim,White,"10,8 mg/prilla · 13,5 mg/g",1
general-slim-white,General,Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",1
general-white-portion-strong,General,White Portion Strong,Large,White,"10,8 mg/prilla · 12 mg/g",1
general-white-portion,General,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",1
noat-cold-mint-10mg,NOAT,Cold mint 10mg,Slim,White,10 mg/prilla,2
noat-ginger-peach-7mg,NOAT,Ginger Peach 7mg,Slim,White,7 mg/prilla,2
noat-matcha-7mg,NOAT,Matcha 7mg,Slim,White,7 mg/prilla,2
noat-peppermint-7mg,NOAT,Peppermint 7mg,Slim,White,7 mg/prilla,2
noat-spearmint-4mg,NOAT,Spearmint 4mg,Slim,White,4 mg/prilla,2
noat-spicy-lime-7mg,NOAT,Spicy Lime 7mg,Slim,White,7 mg/prilla,2
noat-spicy-melon-7mg,NOAT,Spicy Melon 7mg,Slim,White,7 mg/prilla,2
knox-extra-stark-portion,Knox,Extra Stark Portion,Large,Original,"17,1 mg/prilla · 19 mg/g",3
knox-extra-stark-white-portion,Knox,Extra Stark White Portion,Large,White,"15,2 mg/prilla · 19 mg/g",3
knox-portion,Knox,Portion,Large,Original,"7,2 mg/prilla · 8 mg/g",3
knox-stark-portion,Knox,Stark Portion,Large,Original,"14,4 mg/prilla · 16 mg/g",3
knox-stark-white-portion,Knox,Stark White Portion,Large,White,"12,8 mg/prilla · 16 mg/g",3
knox-white-portion,Knox,White Portion,Large,White,"10,4 mg/prilla · 13 mg/g",3
goteborgs-rape-portion,Göteborgs Rapé,Portion,Large,Original,10 mg/prilla · 10 mg/g,4
goteborgs-rape-slim-white-portion-stark,Göteborgs Rapé,Slim White Portion Stark,Slim,White,"10,8 mg/prilla · 13,5 mg/g",4
goteborgs-rape-slim-white,Göteborgs Rapé,Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",4
goteborgs-rape-stark-vit-portion,Göteborgs Rapé,Stark Vit Portion,Large,White,"10,8 mg/prilla · 12 mg/g",4
goteborgs-rape-white-portion,Göteborgs Rapé,White Portion,Large,White,"7,2 mg/prilla · 8 mg/g",4
g-3-g3-extra-strong-slim-white,G.3,G3 Extra Strong Slim White,Slim,White,"16,2 mg/prilla · 18 mg/g",5
