id,brand,name,format,style,mg,type,sokstrang
catch-apple-slim-white,Catch,Apple Slim White,Slim,White,"6,8 mg/prilla · 8,5 mg/g",tobak,Catch Apple Slim White
catch-eucalyptus-white-mini,Catch,Eucalyptus White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Eucalyptus White Mini
catch-licorice-original-mini,Catch,Licorice Original Mini,Mini,Original,"4,2 mg/prilla · 8 mg/g",tobak,Catch Licorice Original Mini
catch-licorice-white-mini,Catch,Licorice White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Licorice White Mini
catch-passion-white-mini,Catch,Passion White Mini,Mini,White,"3,6 mg/prilla · 8,5 mg/g",tobak,Catch Passion White Mini
catch-peach-slim-white-strong,Catch,Peach Slim White Strong,Slim,White,"10,8 mg/prilla · 13,5 mg/g",tobak,Catch Peach Slim White Strong
catch-peppermint-slim-white,Catch,Peppermint Slim White,Slim,White,"7,2 mg/prilla · 9 mg/g",tobak,Catch Peppermint Slim White
catch-spearmint-white-mini,Catch,Spearmint White Mini,Mini,White,4 mg/prilla · 8 mg/g,tobak,Catch Spearmint White Mini
ettan-portion,Ettan,Portion,Large,Original,8 mg/prilla · 8 mg/g,tobak,Ettan Portion
ettan-white-portion,Ettan,White Portion,Large,White,"7,7 mg/prilla · 8,6 mg/g",tobak,Ettan White Portion
g-3-g3-blue-mint-extra-stark,G.3,G3 Blue Mint Extra Stark,Slim,Original,18 mg/prilla · 26 mg/g,tobak,G.3 G3 Blue Mint Extra Stark
g-3-g3-blue-mint-stark-superslim,G.3,G3 Blue Mint Stark Superslim,Superslim,Original,"9,6 mg/prilla · 18 mg/g",tobak,G.3 G3 Blue Mint Stark Superslim
g-3-g3-extra-strong-slim,G.3,G3 Extra Strong Slim,Slim,Original,18 mg/prilla · 20 mg/g,tobak,G.3 G3 Extra Strong Slim
g-3-g3-extra-strong-slim-white,G.3,G3 Extra Strong Slim White,Slim,White,"16,2 mg/prilla · 18 mg/g",tobak,G.3 G3 Extra Strong Slim White
g-3-g3-load-super-strong-slim-white-dry,G.3,G3 LOAD Super Strong Slim White Dry,Slim,White,18 mg/prilla · 26 mg/g,tobak,G.3 G3 LOAD Super Strong Slim White Dry
g-3-g3-original-stark-slim-portionssnus,G.3,G3 Original Stark Slim Portionssnus,Slim,Original,"13,5 mg/prilla · 15 mg/g",tobak,G.3 G3 Original Stark Slim Portionssnus
